Category,Description
Household,"Arsh Portable And Collapsible Wardrobe Metal Frame 6 Racks Closet, Aw06, Blue With High Capacity Up To 70Kgs ARSH wardrobes brings the perfect solution for the storage of your daily usage and consumables, This portable wardrobe is a great storage unit to keep your bedroom neat and tidy with high capacity of 70-75kgs can be stored portable wardrobe comes along with 6 racks. Along with 2 years warranty, MADE IN INDIA."
Books,"Companies Act 2013 and Rules and Forms with Concise Commentary and Referencer About the Author Corporate Professionals (CP), a group of dedicated, research oriented and skilled professionals is pioneer in delivering innovative and distinguished corporate business solutions through a unique model of integrated legal and financial consulting services since 2003. They have been the author of various publications on Corporate Law including the highly accepted title “Companies Act, 2013 and Rules and Forms and Referencer” Within the group, is nestled a boutique law firm, rendering quality services in the field of Company Law, Insolvency Law, Securities Laws and FEMA, Corporate Restructuring, Corporate Taxation, Global Business Setup, Compliance Management, Documentation, and Regulatory Approvals. The Group also offers Investment Banking, Transaction Advisory, Valuation and Business Modelling services through Corporate Professionals Capital Private Limited, a SEBI Registered(Category-I) Merchant Banker. The Group with its focus on serving the clients with utmost efficiency, integrates its knowledge and expertise with Information Technology to customize the products, and offers path breaking solutions to meet their business strategies. The Group has expertise in dealing with complicated transactions and has completed more than 7000 assignments of over 1000 Corporate Houses, comprising both domestic and multi-national companies. High Integrity and confidentiality in dealing with clients and assignments undertaken is deeply inculcated in the team."
Household,"BM WOOD FURNITURE Sheesham Wood Nesting Tables | Set of 3 Stools | Wooden Stool | Natural Teak Finish Color:Design 6   BM Wood Furniture Is a Well Known Brand In Furniture category In Amazon We Are Working Since 1995 In Rajasthan. And We Deal In All Type Of Furniture Like Bed,Chair, Dining,Bedside,Coffee & Center Table,Night Stand,Rocking Chair,Iron Furniture,Dressing table, Wooden temple,Trunk, Foldable,Patio,Longue,Balcony Furniture,Computer,Laptop,Study table,Kids Furniture,Garden Outdoor,Indoor,Bedroom & living room,Wardrobe Furniture,Kitchen,Hallway,Hotel Furniture,Cafe & Resturant Furniture Wooden Stools,Console Tables,Sideboard & Bar Cabinet,Wooden Tv Units,Home Decor Furniture,Book, Wall Shelves."
Household,"Artvarko Brass Ganesha Wall Hanging Puja Idol Oil Lamp Three Diyas and Bells 9.5 inch Lord Ganesha is one of the most important figures in the Hindu religion. As the remover of obstacles, he is often called upon to help people overcome seemingly insurmountable odds and deal with problems that arise in daily life. Whether you're a practicing Hindu or simply want to enhance your decor with exotic Indian artwork, the Artvarko Handmade Brass Lord Ganesha Wall Hanging Puja Idol is a stunning addition to the look of every room and a celebration of the greatness of Ganesha. Designed to be mounted to a wall, the Artvarko Handmade Brass Lord Ganesha Wall Hanging Puja Idol shows Ganesha in all of his glory. The highly detailed face of the elephant-headed god is lifelike and simply breathtaking to behold."
Books,"Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! (Rich Dad's (Audio)) About the Author Best known as the author of Rich Dad Poor Dad―the #1 personal finance book of all time―Robert Kiyosaki has challenged and changed the way tens of millions of people around the world think about money. He is an entrepreneur, educator, and investor who believes that each of us has the power to makes changes in our lives, take control of our financial future, and live the rich life we deserve. With perspectives on money and investing that often contradict conventional wisdom, Robert has earned an international reputation for straight talk, irreverence, and courage and has become a passionate and outspoken advocate for financial education. Robert's most recent books―Why the Rich Are Getting Richer and More Important Than Money―were published in the spring of last year to mark the 20th Anniversary of the 1997 release of Rich Dad Poor Dad. That book and its messages, viewed around the world as a classic in the personal finance arena, have stood the test of time. Why the Rich Are Getting Richer, released two decades after the international blockbuster bestseller Rich Dad Poor Dad, is positioned as Rich Dad Graduate School. Robert has also co-authored two books with Donald Trump, prior to his successful bid for the White House and election as President of the United States."
Books,Harappa: Curse of the Blood River 
Household,"Wakefit Water Proof Terry Cotton Mattress Protector - 78"" x 72"", King Size, White Size:78x72   Wake-Fit Water proof hypoallergic colling terry mattress protector. Waterproof: 100% Water proof and absolutely no sound. Hypoallergic: Prevents allergens like pollen or dust mites and bacteria to enter the mattress. - Cool and breathable: Terry cloth keeps it cool through out night while TPU layer beneath keeps it breathable. Not like conventional plastic films. Made using 200 GSM terry fabric with TPU film. The feel is very soft. Person sleeping on it will not realize if he/she is sleeping on a mattress protector. It feels like a nice cover to mattress."
Clothing & Accessories,"Peter Jones Unisex Eyewear Spectacle Frame (Bbm1_Black_) Sunglasses Are The Essential Accessories These Day , Go On A Day Out And Accessorize Your Outfit With A Stylish Sunglass. To Complete The Look Chose The Outfit Which Can Complement This Sunglass. Eye Catchy Sunglasses And Intricately Designed And Finished Timepieces Are What Separate You From The Rest."
Household,"BESTONZON 4pcs Mini Serving Tongs Sugar Cube Tongs Premium Stainless Steel Mini Ice Tong Perfect for Tea Party Coffee Bar Home Supplies (Silver) Size:4 pcs                                                                                 |                            Color Name:Silver   DescriptionThese mini tongs are made of stainless steel material with premium quality. Resistant to high degree heat, stain and odor free. All tongs fit best for all occasions, perfect for party candy bars, salad buffets. Good choice for family use, party, camping, holiday gathering, friends union.Feature- Color: Silver.- Material: Stainless steel.- Size: 10 x 1.5 x 1.5 cm.- Made of stainless steel with premium quality.- Resistant to high degree heat, stain and odor free.- All tongs fit best for all occasions, perfect for party candy bars, salad buffets.- Good choice for family use, party, camping, holiday gathering, friends union.- Food tongs is perfect for buffet style spread for finger foods. You will be amazed how nice these tongs are.Package Including4 x tongs"
Electronics,"Sony Cyber-shot DSC-H300/BC E32 point & Shoot Digital camera (Black)35x optical zoom with Power charger, Memory Card & Camera Case The High zoom camera Sony Cyber-shot H300, with a powerful 35x optical zoom, brings your subject to you for beautiful, precise pictures. A 20.1MP sensor, HD video and creative features, let you capture detailed images and movies with ease. A DSLR-style body allows for comfortable handling when shooting, panning or recording."
Household,"Karcher WD 3 Multi-Purpose Vacuum Cleaner Product Description The WD 3 multi-purpose vacuum cleaner is super-powerful with a power consumption of just 1,000 watts. Its robust and impact-resistant plastic container has a capacity of 17 litres. The cartridge filter enables convenient vacuuming of wet and dry dirt, without filter replacement. The new suction hose and - not to be forgotten - the newly developed clips floor nozzle with mixed insert contribute to optimal dirt pick-up and ensure perfect cleanliness. The easily removable handle allows direct attachment of accessories to the suction hose. The practical parking position allows convenient parking of the suction tube and floor nozzle during working interruptions. WD 3 vacuum cleaners make light work of the toughest cleaning jobs with features such as blower function, ""Pull & Push"" locking system, ergonomic carrying handle and practical cable and accessory storage. Note: Incase of any issue with the product, kindly contact brand at Hotline (Toll Free Number): 1800 1234 180. 				    	 					 From the Manufacturer  The WD 3 multi-purpose vacuum cleaner is super-powerful with a power consumption of just 1,000 watts. Its robust and impact-resistant plastic container has a capacity of 17 litres. The cartridge filter enables convenient vacuuming of wet and dry dirt, without filter replacement. The new suction hose and - not to be forgotten - the newly developed clips floor nozzle with mixed insert contribute to optimal dirt pick-up and ensure perfect cleanliness. The easily removable handle allows direct attachment of accessories to the suction hose. The practical parking position allows convenient parking of the suction tube and floor nozzle during working interruptions. WD 3 vacuum cleaners make light work of the toughest cleaning jobs with features such as blower function, ""Pull & Push"" locking system, ergonomic carrying handle and practical cable and accessory storage.   Features and benefits    Specific cartridge filterFor wet and dry vacuuming without filter replacement.    Newly developed: floor nozzle and suction hoseFor the best cleaning results – whether dry, wet, fine or coarse dirt. For maximum vacuuming convenience and flexibility.     Removable handleDifferent nozzles can be directly attached to the suction hose. For easy vacuuming – even in confined spaces.     Practical blower functionWhere vacuuming is not possible, the practical blower function can be used. Effortless dirt removal, e.g. from a gravel bed.  Practical parking positionQuick and easy intermediate parking of suction tube and floor nozzle during working interruptions.  Practical cable and accessory storageSpace-saving, secure and easily accessible suction hose, power cable and accessory storage.  Pull & Push locking systemFor quick, easy and safe opening and closing of the container.  Ergonomically-shaped carrying handleDevice is easy and convenient to transport. Compact construction styleFlexible and versatile use. Space-saving storage."
Household,"Maxime Candles Rose Scented Wax Marble Candles (21.5 cm x 12.5 cm x 5 cm, Red, Set of 4)"
Household,"MULTI - TABLE Foldable and Adjustable Multi Purpose Utility Table Mate for Laptop, Dinner, Study (Black and Black) About the MULTI - TABLE Brand: with years of expertise and innovation, This table is a initiative business manufacturing top in the class table mates. The company has put in appreciative amount of time and effort in research and innovation to bring the best products to you. About the product: When space is a problem, table mate is the answer. MULTI-TABLE brand, a proud 'Make in India' product that fulfils multiple home needs in one go. Ideally designed as a laptop accessory, the table mate turned out to be great for more than one need. Some of the many other ways you can use the table mate are1) Laptop desk 2) eating table 3) Reading / study table Salient Features: 1) Sliding Cupholder 2) Strong Plastic 3) Complete single colour 4) 6 level height adjustment 5) 3 level slant adjustment 6) Detachable and Foldable 7) Spares available Must Read Before Buying:  The legs are made of iron and are enamel spray coated. Minor scratches might be visible, Any enamel coated iron item has this issue. (Things most sellers might not have told you). The product is not designed for anyone to stand on, sit on. maximum weight is 5 kgs to 10 Kgs but we recommend you restrict to 5 kg (laptop etc).  Cleaning instructions: Clean with a mild solution fo soap and water on the plastic surface. Avoid scratches and water contact to the iron parts of the product."
Household,Saral Home Cotton Small Printed Multi Use Runner -50x80 cm
Household,"Bosch Glm 500 Plastic Laser Distance Measurement Device (Blue, 3-Pieces) The 2-in-1 360 degree measuring device Iso certification. Range in all circumstances. Tilt sensor, 360 for easy angle measurement, and leveling applications Robust housing, ip 54-ratedSplash water proof and dustproof tool for rough construction site conditions Color display for easy understanding of results High accuracy of 1.5 mm for precise measurements Versatile with various functions, including angle measurement, for professional measuring job Easy to use with hmi and color display, it is easy and fun to work with the tool. Robust with ip54 rating and iso certification, the tool is durable for daily work. Measuring range, typical -0.05 - 50 m Measuring accuracy, typical- 1.5 mm Angle measurement range, typical -0 - 360 Angle measurement accuracy, typical - 0.2 Memory function-yes (20) No of measurements -10,000 Tripod thread size-1/4 inch Degree of protection - ip 54 (dust and splash proof) Flip display -yes Power supply-2 x 1.5v lr 03 (aaa) Size - 106 x 45 x 24 mm, Epta - 0.1 kg."
Electronics,"Dwayne C Motorcycle Intercom Motorbike Motorcycle Interphone Headset BT Bluetooth Helmet Intercom Coummunication System, Up to 6 Riders, 1200M for Riding/Skiing Size Single (V6) Colour:V6                                                                                 |                            Size name:Single   Description: 1. Full duplex intercom among 2 referees same time and total can connect 6 referees, 1 host switching to other 52. Plastic + Rubber button, more stable structure, better waterproof performance. This system is fully weather protected.3. V6C bluetooth intercom come standard with Bluetooth 3.0 technology which allows referees to wirelessly make mobile calls, listen to stereo or MP3 player music4. Up to 8 hours talking time. Up to 240 hours standby time5. Certification CE,FCC,ROHS,BQB6. Full weather protection. Waterproof standard IP65Package Include: 1 * Motorcycle Bluetooth Headset"
Household,"Samsung 253 L 4 Star Frost Free Double Door Refrigerator(RT28M3424S8/HL, Elegant Inox, Inverter Compressor) Specification: Capacity: Net Total(Liter): 234  Net for Freezer(Liter): 53  Net for Refrigerator(Liter): 181  Gross Total(Liter): 253  Gross for Freezer(Liter): 69  Gross for Refrigerator(Liter): 184  Physical specification: Net Width(mm): 555  Net Case Height with Hinge(mm): 1,545  Net Depth with Door Handle(mm): 637  Net Depth without Door Handle(mm): 637 Net Depth without Door(mm): 545  Packing Width(mm): 602  Packing Height(mm): 1,610  Packing Depth(mm): 721  Net Weight(kg): 52  Packing Weight(kg): 57  20/40/40H (Container): 42/90/90 Cooling Feature: No Frost: Yes Multi Flow: Yes Refrigerator Feature: Number of Shelf (Total): 4 EA Easy Slide Shelf: Yes Shelf Material: Tempered Glass 2EA Number of Vegetable&Fruit Drawer: 1 EA Number of Door Pocket: 4 EA Interior LED Light: Yes Freezer Feature:  Ice Maker: Twist  Material of Shelf: Plastic  Number of Shelf (Total): 1 EA  Number of Door Pocket: 2 EA Exterior Feature:  Display Type: External Door Handle: Recess Color: Elegant Inox (Light DOI) Energy: Energy Star Rating: 4 Star"
Books,Negotiation Genius: How to Overcome Obstacles and Achieve Brilliant Results at the Bargaining Table and Beyond
Electronics,"Deal On Trade DOT Full HD LED Reverse Parking Screen with Bluetooth, MP5 SD Card, USB and Parking Camera (Black) Deal On Trade DOT Full HD LED Reverse Parking Screen with Bluetooth, MP5 SD Card, USB and Parking Camera (Black)."
Clothing & Accessories,"MomToBe Women's Rayon Maternity Kurti MomToBe Women's Rayon Maternity Kurti-Description- Double your fashion flair wearing this maternity kurti from MomToBe. Fashioned using Rayon, this maternity kurti will keep you at comfort all day long. Designed to perfection, this classy maternity kurti will look great when clubbed with leggings and pumps. Make your pregnancy and postpartum days stylish with this maternity dress by MomToBe.Specifications- Brand-MomToBe Type-Maternity Kurti Neck-V-Neck Sleeves-3/4th Sleeves Pattern-Multi Printed Suitable for-Suitable for both pregnancy and postpartum days. Fabric-Rayon Occassion-Casual,Party and Baby Shower.Care instructions- Wash gentle cycle cold with like colors/do not bleach and dry low/iron low when needed."
Books,"Trump: The Art of the Deal Review “Trump makes one believe for a moment in the American dream again.”—The New York Times    “Donald Trump is a deal maker. He is a deal maker the way lions are carnivores and water is wet.”—Chicago Tribune   “Fascinating . . . wholly absorbing . . . conveys Trump’s larger-than-life demeanor so vibrantly that the reader’s attention is instantly and fully claimed.”—Boston Herald   “A chatty, generous, chutzpa-filled autobiography.”—New York Post  From the Inside Flap From the Impresario of NBC's hit show ""The Apprentice TRUMP ON TRUMP: ""I like thinking big. I always have. To me it's very simple: if you're going to be thinking anyway, you might as well think big."" And here's how he does it: the art of the deal. Beginning with a week in Trump's high-stakes life, ""Trump: The Art of the Deal gives us Trump in action. We see just how he operates day to day--how he runs his business and how he runs his life--as he chats with friends and family, clashes with enemies, efficiently buys up Atlantic City's top casinos, changes the face of the New York City skyline . . . and plans the tallest building in the world. TRUMP ON TRUMP: ""I play it very loose. I don't carry a briefcase. I try not to schedule too many meetings. I leave my door open. . . . I prefer to come to work each day and just see what develops."" Even a maverick plays by rules, and here Trump formulates his own eleven guidelines for success. He isolates the common elements in his greatest deals; he shatters myths (""You don't necessarily need the best location. What you need is the best deal""); he names names, spells out the zeros, and fully reveals the deal-maker's art: from the abandoned property that became the Jacob K. Javits Convention Center to the seedy hotel that became the Grand Hyatt; from the race to rebuild Central Park's Wollman Skating Rink to the byzantine saga of the property that became Trump Tower. And throughout, Trump talks--""really talks--about how he does it. TRUMP ON TRUMP: ""I always go into a deal anticipating the worst. If you plan for the worst--if you can live with the worst--the good will always take care of itself."" Donald Trump is blunt, brash, surprisingly old-fashioned in spots--and always, always an original. ""Trump: The Art of the Deal is an unguarded look at the mind of a brilliant entrepreneur and an unprecedented education in the art of the deal. It's the most streetwise business book there is--and a sizzling read for anyone interested in money and success. 				    	 					              See all Product description"
Household,"Happy Walls Animals Switch Board Sticker, Switch Stickers, Wall Stickers, Light Switch Sticker Set of 9 SHREE WALL STICKERS  SHREE WALL STICKERS brings you an interesting decal stickers to decorate your walls. A beautiful wall art decal for your home or office, and having these will give you and your envoirment a refreshing look. Create an enchanting atmosphere by using these decals/stickers. It will give an amazing touch to your Interiors. Let these decals/stickers deliver & reflect great positive envoirment. Create the aura and vibrancy of your character by letting your walls to speak on your behalf.  These wall Stickers will add meaning to your rooms. These decals will deliver not only good vibes and thoughts but also spread positive energy in you and the people around you. These last for years on your walls without getting itself peeling or fading. Key-Notes: Package Include: 1 x Wall sticker. Material: PVC Vinyl Compatible. Features:   PVC, Non-toxic, Eco-friendly and Waterproof. Desired Places:  Ideal for Lounge, Homes, Cafe and Restaurant, Hotels, Any Non-Dust & Non-Humid Places. Caution:   Do not apply on wet walls. Do not apply on ash surfaces. Do not apply on broken surfaces. We appreciate our customers feedback, so we request you to drop your valuable feedback."
Clothing & Accessories,"Urbaano Belo Lace Bikini Set Urbaano Belo bikini Lace set in a simple stunning triangle makes this bikini standout, halter bikini top & bikini panty style that can be tied at both the sides according to your size. Be a Stunner."
Electronics,"PR Projector Lamp (White and Blue) High Beam, Low Beam, Flasher Light, White Light Led headlight Lens projector For Royal Enfield Bullet 350 Twinspark Original PR products from Blue Star Auto Stores Ideal for night driving purposes and gives 10 times brighter light than normal headlight bulb. Power consumption of 15 w but more light than usual bulb. It has LED chip. Easily replaces your current halogen bulb , easy installation inside headlamp.LED White 35W 6000K 3500LM Motorcycle LED Headlight Bulb Motorbike Headlamp Motor Lighting Item: H6/H4 Motor LED Headlight Kit Power : 30W High, 20W Low Current: 2.2A(tested at DC12V) Lumen : 3500LM per set Color temperature: 6000K Chip:high intensity led Voltage : DC10V-24V LED Quantity : High Intensity LED Working temperature:-40Celsius -+70 Celsius Life span: +50000hours Material:1.6063 alloy light body with glass lens High Beam ,Low Beam , Super White light Bike Headlight, Bike Projector light,Projector light, Bike light, Bike led Head Light. Projector light with dual angel eye ring."
Electronics,"WD Green 240GB M.2 2280 Internal SSD (WDS240G1G0B) Your biggest adversary is no match for your closest ally: WD SSD. Get in the game fast with a drive that kills load time. Win the battle against slow load times. Get in fast with ultra-quick WD SSDsand dominate your opponent before their boots hit the ground. WD SSDs are optimized for multitasking, so you can run several demanding applications all at once. WD Black NVMe SSD: Crush load times and unleash a new level of performance with a WD Black NVMe SSD, featuring read speeds up to 3400MB/sand write speeds up to 2800MB/s. WD Blue 3D NAND SATA SSD: Destroy the competition with an SSD enhanced with Western Digital 3D NAND technology, capacities up to 2TB, sequential read speeds up to 560MB/s and sequential write speeds up to 530MB/s. WD Green PC SSD: Bolster your PC with upgraded speed and reliability, featuring transfer speeds up to 540MB/s and capacities up to 240GB."
Household,"KOLOROBIA BABUR Inspired Home DÉCOR Wall Plate 10"" Dedicated to great Mughal emperor Babur and his inclinations for the charming Char Bagh, this Babur themed home decor wall plate is gorgeous in every sense. Add a sense of beauty and elegance with the embellished floral motifs in leaf and vine patterns. Rev up the aesthetics of your living space with the exuberant colour play of scarlet and milk white."
Books,"Hitch 22: A Memoir Review 'Christopher Hitchens is one of the great conversationalists of our age and his wit, style and erudition are brilliantly deployed in this glittering autobiography. Hitch-22 sparkles with funny stories, treasurable quotations, witty apercus and deft descriptions.' Sunday Times 'A pert yet elegantly written memoir.' Sunday Telegraph 'A fascinating account of the influences - political, cultural and philosophical - on Hitchens's intellectual development... A funny, sad, incisive, and serious narrative... He is our son and one of our most gifted writers. We should take pride in that and be busting our guts to get him back.' Spectator 				    	 					 About the Author Christopher Hitchens (1949-2011) was a contributing editor to Vanity Fair and a columnist for Slate. He was the author of numerous books, including works on Thomas Jefferson, Thomas Paine, George Orwell, Mother Teresa, Henry Kissinger and Bill and Hillary Clinton, as well as his international bestseller and National Book Award nominee, god Is Not Great. His memoir, Hitch-22, which was a Sunday Times bestseller, was nominated for the Orwell Prize and was a finalist for the National Book Critics Circle Award. His last book, Mortality, was published in 2012 by Atlantic Books."
Electronics,"Zoom Q8 Handy Video Recorder with Zoom SCQ-8 Carrying Case Records Directly to SD, SDHC, & SDXC Cards up to128GB High-Quality 160 Degree Wide-Angle Lens Selectable Viewing Angles (f2.0/16.6mm) Full-Color Rotating LCD Touchscreen Support for Five HD Video Modes up to 2304 X 1296 Pixels (3M HD), Supports Two WVGA Modes Frame Rates of up to 60fps for Fast Action Video & Slow Motion Playback 4x Digital Zoom"
Electronics,"AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters) - Black Size name:6 Feet                                                                                 |                            Style name:Standard   AmazonBasics Digital Optical Audio Toslink Cable delivers superior sound that won't go unnoticed. Use the convenient cable to quickly connect a CD player, Blu-Ray player, game console, or other audio component to a preamplifier, audio system, or home theater system. Then sit back and enjoy some serious sound."
Electronics,"Samsung Galaxy M20 (Ocean Blue, 4+64GB) The Samsung Galaxy M20 is especially created for the millennials who live on the edge and do not compromise on anything. With a beautiful infinity V-cut display, a wide angle camera, a huge battery with faster charging and a powerful processor along with the trust that comes with brand Samsung, the Galaxy M20 is a powerful smartphone."
Household,Embassy Stainless Steel Round Trivet (Pack Of 6) Embassy round trivets or wire mats are made of stainless steel. Ideal to place the hot containers on these table rings so that the hot containers do not damage the surface of dining table or any other surface you place the hot container on. The product comes in a set of 6 trivets (same size). Also available separately in square shape.
Household,Euroclean Eureka Forbes Plastic Vacuum Cleaner Floor Brush High-Quality Genuine Euroclean accessories suitable for cleaning hard surfaces.
Household,"Mont Marte Air Hardening Modelling Clay (White) Mont Marte air hardening modelling clay, Air hardening clay, Modelling clay"
Books,"Alliance Network - Steering Wheel Cover wooden finish (BEIGE) ALLIANCE NETWORK :- steering wheel covers fit middle size steering wheels. Suitable for:- Audi, BMW(except Mini), Chevrolet, , Fiat, Ford, Hyundai, Honda, Jeep, Land Rover, Lexus, MercedesBenz, Mazda, Nissan, Peugeot, Renault(except kwid), Skoda, TATA (except tiago,nano,tigor,nexon),Toyota, Volkswagen(except Jetta), Volvo, etc. If you are not sure whether our products fit your car, you may leave us a message. Better comfort:-  Breathable, soft padding, contour shape and massaging design. Durability:- Heat resistant, cold resistant and wear-resistant. Increased safety:- A better grip on the wheel gives you more control on the road. Green material:-Our products are totally eco-friendly and healthy. ALLIANCE NETWORK has been devoted to designing, manufacturing and supplying high quality steering wheel covers for ten years. We choose high quality, eco-friendly and healthy materials. We employ advanced manufacturing technique and the whole production process is under strict quality control."
Electronics,AmazonBasics USB Type-C to USB-A 2.0 Male Cable - 6 Feet (1.8 Meters) - Black Size name:1.8 Meters                                                                                 |                            Color:Black   AmazonBasics USB Type-C to USB-A 2.0 Male Cable - 6 Feet (1.8 Meters) - Black
Household,"Windsong Chimes & Bells Windchimes With Hanging 8 Bronze Singing Rods For Positive Energy And Home Decor,(15*5*3 Inches) Windsong chimes are hand-crafted and tuned to perfection. They give harmonious and pleasing sounds with the slightest breeze. For best results hang them in a breezy spot (on a tree, porch, balcony or outside of the window). Windsong chimes and bells provides you the best windchimes which actually sing in rythm. Windchimes with hanging 8 bronze singing rods sings even with a slightest breeze make it sing. These are weather protected. We have used good quality wood and threads are used. Idonized aluminium pipes with steambeech wood(imported) is been used. This is also and exellent item to gift your loved one's as it brings happiness and good luck to the home. As per fengshui windchimes are a symbol of prosperity in one's home. Windsongs chimes and bells is been made by a ex-fighter pilot of indian airforce who has a passion for creating products with his amazing skills of tinkering."
Household,BESTOW® Single Furnace Candle Food Warmer Portable Keep Tea or Food This food warmer has a heat spreading aluminum holding grill that conveniently uses a tealight candle to operate. This canning manner distributes heat evenly and saves you from continuously replenishing candles. Keep food warmer and space-saving and efficient .The low-temperature heat is contained under the detachable aluminum grill and transferred to the bowl of food through the holes of the folder. (not plastic and glass cup).The Single Furnace Food Warmer has a flame-out snuffer so you don't get your fingers burned.
Household,"Gala 5 Piece Dustpan with Steel Scrubber, Kitchen Moppy, Kitchen Scrubber and Kitchen Wipe Combo Set (Assorted) Style:Scrub Pad, Dustpan, Steel Scrubber, Moppy, Wipe   Gala India's one of largest manufacturer of home cleaning tools brings out 'Dustpan' made from virgin plastic, more depth to collect more dust with swash card used to clean utensils and more durable than any ordinary scrubber."
Books,"The Dramatic Decade: The Indira Gandhi Years About the Author Pranab Mukherjee assumed office as the President of India on 25 July 2012. He has unparalleled experience in governance, with the rare distinction of having served at different times as Foreign, Defence, Commerce and Finance Minister, as also Deputy Chairman of the Planning Commission. He was elected to the Rajya Sabha five times from 1969, and twice to the Lok Sabha from 2004. A recipient of the Padma Vibhushan (2008), Pranab Mukherjee’s intellectual and political process is widely admired. He has been long acclaimed for his role as a consensus builder on difficult national issues."
Electronics,AmazonBasics 3.5mm to 2-Male RCA Adapter cable - 4 feet
Household,"Art Street Shooting Star Set of 16 Individual Photo Frame- Multiple Size (3 Units of 8x10, 4 Units of 6x8, 4 Units of 5x7, 3 Units of 4x6, 2 Units of 6x10) live your golden memories by decorating your place with photographs. Bright colours and specially handcrafted artistic make, give these pieces a vibrant and modish touch to the plain walls of your living space. Give a personalized touch to your gifts by picking one of these pieces."
Household,"Nirlon Non-Stick Aluminium Tawa Set, 2-Pieces, Red Well Designed and Extremely Hardy The Nirlon Best Quality Aluminium Non Stick Dosa Tawa and Roti Tawa Combo Set is a versatile kitchen utensil that lets you comprehensively simmer, sauté, sear and glaze an assortment of food items. Constructed from aluminium metal, the non-stick surface of the Tawa has been tougher than stainless steel. Additionally, the weightlessness of the metal makes the flat tawa is heavy, while the robustness of the non stick surface renders it scratchproof and resistant to rust. Moreover, the Bakelite handle of the Nirlon Special Tawa has a stay-cool functionality. Features Non Stick Coating The hard-wearing material of this griddle Nirlon flat tawa has been encrusted with a thick that enables it to endure high temperatures. This non-stick coating is also scratch-resistant, thus you can use metal spoons and ladles. Furthermore, its 2. 6-mm thick body with thermocare base ensures your food items do not get burnt when you are using high flame. With this special tawa, you are able to prepare items that are not only scrumptious but also nutritious as very little oil is needed during cooking."
Electronics,"Panasonic Single Line 2.4 KX-TG3411SX Digital Cordless Phone (Black) Panasonic Single Line 2.4 KX-TG3411SX Digital Cordless Phone   A comprehensive communication experience   Talk comfortably and enjoy a portable communication experience with the Panasonic Single Line Digital Cordless Phone. This cordless phone liberates you from the hassle of wires and allows you to communicate on-the-go. Made from highly durable plastic, this device is capable of withstanding robust use. Its LCD display makes operating this device easy, and its highly effective speakers bring clear sound, so that you never miss out on any detail when you're on the phone.   2.4 GHz frequency support and NI-MH battery   This cordless phone comes with 2.4 GHz frequency support which provides better signal quality and reduces the chances of call drops. Plus, the NI-MH battery ensures a longer battery life. It has a talk time of 10 hours and a standby time of 144 hours. The overall charging time of this device is 7 hours.   Compact body, easy operation   This Panasonic Cordless Phone has dimensions of 17.8 x 12.9 x 9.5 cm. Hence, this compact communication device gets accommodated easily. You can also wall mount it with ease. The product weighs a mere 440 grams; thus is very comfortable to carry. This portable device has a very handy design which facilitates better gripping. You can see the dialed number information and other details thanks to the LCD display while the alphanumeric keypad provides convenience while typing. It has an amber-colour backlight that highlights the controls and allows you to dial numbers easily even when it is dark. The phone comes with a Caller ID function which makes it easy for you to save their contact details.   Other noteworthy features   Along with facilitating better communication, the Cordless Phone comes with a plethora of other features. The time display and any key answer feature come in handy; while the intercom, speed dialing and redial features provide better communication facilities. The 14 ringer melodies give you plenty of choices for you to select the ideal ringtone from. Saving contact details becomes easy with the feature of 50 phonebook entries. Thus, all your important contact details are stored safely. This cordless phone showcases 50 caller IDs and 5 redial memories, which further adds a touch of convenience. The call share and call waiting function are integral to its usage as well."
Household,"Krevia Plastic 12-V Portable Car Vaccum Cleaner with LED Leight (Colour May Vary) This powerful 12-Volt Wet/Dry Handheld Car Vacuum Cleaner has the ability to clean up both solids and liquids, offering seemingly unlimited uses. Ergonomic handle, 110-inch cord and lightweight design allows for easy carrying and use. Built-in crevice tool and LED light allow you to reach those tight corners and cracks. 12-volt plug in allows you to power the device from the car itself. No assembling is required."
Household,"Santosha Decor Sheesham Wood Pre-Assemble Stylish Bar Cabinet/ Rack with Wine Glass Storage ( Santosha Decor, Natural Brown Finish) Color:natural brown   Contemporary Furniture Reflects Designs That Are Current Or En Vogue. It Does Not Necessarily Reference Historical Design Styles And Often Provides A Feeling Of Everything In Its Place. Furniture Bought Is Shipped For Free"
Books,"50 Indian Film Classics About the Author M.K. Raghavendra is a film researcher, scholar and critic. He has written extensively on world cinema for Indian and international periodicals. He received the national award for Best Film Critic in 1997, which cited his'provocative and iconoclastic writing, which inspires debate and discussion, so rare in film criticism today'. His book Seduced by the Familiar: Narration and Meaning in Indian Popular Cinema (Oxford University Press, 2008) was acknowledged by India Today as among the best books on movies."
